VendorName,TotalPurchaseDollars,PurchaseContribution
DIAGEO NORTH AMERICA INC,405943.7399999935,0.1320835326746932
CONSTELLATION BRANDS INC,404495.9199999966,0.1316124497106434
SAZERAC NORTH AMERICA INC.,402055.67999999085,0.13081845909565112
E & J GALLO WINERY,401711.42000000115,0.13070644584731966
SAZERAC CO INC,401533.110000004,0.13064842841192123
PERNOD RICARD USA,400282.49999999977,0.1302415124515991
DISARONNO INTERNATIONAL LLC,399634.20000000164,0.13003057249663696
DIAGEO NORTH AMERICA INC,397064.8799999979,0.12919458260756456
MOET HENNESSY USA INC,395736.9599999989,0.12876251198440566
DIAGEO NORTH AMERICA INC,388078.02000000176,0.12627049214997454
BACARDI USA INC,380609.8899999946,0.12384055692576139
HEAVEN HILL DISTILLERIES,379944.90000000445,0.12362418647897967
MOET HENNESSY USA INC,379439.1200000025,0.12345961882446561
BROWN-FORMAN CORP,379165.7100000053,0.12337065832302219
MARTIGNETTI COMPANIES,377726.65000000165,0.12290242563508536
PERNOD RICARD USA,376796.5999999969,0.12259981155963556
PROXIMO SPIRITS INC.,374790.4999999976,0.1219470788068196
DIAGEO NORTH AMERICA INC,369126.44999999524,0.12010414428282269
CASTLE BRANDS CORP.,369034.92999999056,0.1200743660556452
CONSTELLATION BRANDS INC,368120.55000000226,0.1197768505905575
MARTIGNETTI COMPANIES,363756.0599999934,0.11835675908348178
PERNOD RICARD USA,363710.83999999886,0.11834204567184788
JIM BEAM BRANDS COMPANY,363050.4500000035,0.1181271719453989
WILLIAM GRANT & SONS INC,360429.8700000025,0.11727450338581775
PERNOD RICARD USA,360339.62000000296,0.11724513838360381
JIM BEAM BRANDS COMPANY,359566.279999989,0.11699351366545817
DIAGEO NORTH AMERICA INC,357776.9999999982,0.11641132850023561
CONSTELLATION BRANDS INC,356886.85999999405,0.11612170010055736
JIM BEAM BRANDS COMPANY,356638.37999999576,0.11604085117257837
E & J GALLO WINERY,354598.22000001767,0.1153770361818146
BROWN-FORMAN CORP,353324.40000000066,0.11496256829127902
CASTLE BRANDS CORP.,352732.3799999953,0.11476994038423262
DIAGEO NORTH AMERICA INC,352225.6099999936,0.11460505060947275
MARTIGNETTI COMPANIES,345690.29999999725,0.1124786307466519
BROWN-FORMAN CORP,345545.99999999895,0.1124316792805085
BACARDI USA INC,344833.0200000061,0.11219969413614969
SAZERAC CO INC,343781.36000000814,0.11185751133029487
DIAGEO NORTH AMERICA INC,342399.3999999967,0.11140785749694192
DIAGEO NORTH AMERICA INC,340005.05000000034,0.11062879829415884
JIM BEAM BRANDS COMPANY,339800.8400000012,0.1105623536725288
WILLIAM GRANT & SONS INC,339241.56000000105,0.11038037850977762
DIAGEO NORTH AMERICA INC,338428.55999998923,0.11011584945935776
DIAGEO NORTH AMERICA INC,336189.1799999959,0.1093872134631476
JIM BEAM BRANDS COMPANY,334881.7499999959,0.10896180975295644
WILLIAM GRANT & SONS INC,334756.8000000001,0.10892115427343814
