Description,TotalSalesDollars,AvgProfitMargin
Achaval Ferrer Malbec,41945.51000000019,31.219432067937795
Achaval Ferrer Quimera,29358.230000000167,33.00553200925297
Acorn Alegria Vyds Cab Franc,2944.939999999998,52.16608827344527
Acorn Cve Alegria Russ Syrah,2780.009999999995,66.74472393984189
Acorn Dolcetto Alegria RRV,3023.009999999995,57.297527960542574
Acorn Medley Alegria RRV,1934.2499999999993,85.08517513248029
Acorn Sangiovese Alegria RRV,8434.979999999974,32.76996507401301
Acquese Moscato D'Asti Dolc,14795.659999999847,29.58414832457535
Acrobat King Est Rose Pnt Nr,31785.280000000243,41.99616929597644
Acrobat Pnt Gris Oregon,110585.18000000216,21.7022027725616
Acumen Moutainside Red Napa,114829.05000000152,50.56438244503525
Adaption by Odette Chard,3294.969999999997,81.47327593270953
Adelsheim Auxerrois Ribbon S,901.5900000000003,78.57340919930347
Adelsheim Bryan Creek Pnt Nr,2449.649999999999,77.14285714285714
Adelsheim Caitlins Rsv Chard,1639.5900000000001,61.98561835580847
Adelsheim Chard Willmete Vly,1813.2400000000005,45.5207253314509
Adelsheim Elizbth RSV Pnt Nr,2561.4499999999994,64.866384274532
Adelsheim Pnt Gris Ore,12788.149999999903,24.188252405546677
Adelsheim Pnt Nr Ore,33531.43000000019,17.354672914337776
Adissat Cotes du Rhone,1244.1700000000005,89.62440824003151
Adissat Gabrielle Ch du Pape,639.84,74.8312078019505
Adissat Lirac,6176.909999999971,80.2012656813843
Admiral Nelson Egg Nog,450.3100000000003,79.38753303279964
Admiral Nelson Spiced Rum,122358.39000000549,25.888335078620262
After Shock Hot & Cool Cinmn,87915.35000000177,19.916428832753716
Agave Loco Pepper Cured Teq,15159.73999999994,45.248071536846716
Agave Underground Tequila,24975.950000000277,20.483024669733112
Agavero Orange Liqueur Agave,1209.45,40.30592418041258
Agavero Tequila Liqueur,805.69,13.16138961635368
Agua de Piedra Malbec Selccn,134120.52000000447,44.152214739402325
Agua de Piedra Malbec Selecn,707.16,37.994230442898356
Aguardiente Cristal Liqueur,1415.9100000000005,16.977774011060056
Alabaster 07 Tinta de Toro,674.95,86.39454774427735
Alain Lorieux Chinon Express,485.73000000000013,59.68130442838614
Alamos Red Mendoza,25449.130000000383,48.948824576715104
Alamos Ridge Cab Svgn Mendza,50651.64000000006,46.63242888088121
Alamos Ridge Chard Mendoza,30135.940000000584,44.741328792134425
Alamos Ridge Malbec Mendoza,382832.1099999665,44.95340268087236
Alamos Slcn Malbec Mendoza,62768.15999999989,37.74601645165329
Alamos Torrontes,31632.47000000041,53.563316427709
Alate Kosher Wine,7967.739999999955,40.53144304407491
Albero Sparkling Wh Organic,5.79,28.497409326424876
Albert I Noya Xarello Clsc,911.3400000000005,35.519125683060146
Alberta Rye Dark Batch,5871.329999999976,88.95275857429232
Alberto Furque Malbec Mendoz,1379.08,48.59181483307713
Albola Chianti,3025.4899999999925,31.05877064541596
Albola Pinot Grigio,64481.989999999365,31.300212664031324
Alderbrook Pnt Nr RRV,21426.090000000022,92.67668529349034
Aldial Naia Rueda White,9153.199999999943,37.748219202027386
Alexana Pnt Nr Willamette,919.6000000000001,15.832970856894315
Alexana Revana Vyd Pnt Nr,8047.109999999976,48.09440904871422
Alexander Vly Vyd Cab Svgn,63030.82000000013,32.91126467972359
Alexander Vly Vyds Gewurz,5164.829999999964,29.957036340014596
Alexander Vly Vyds Merlot,6072.18999999997,14.419344585725721
Alexander Vly Vyds Sin Znfdl,479.76,35.46773386693346
Alexanders Crown Cab Svgn,5389.259999999995,68.83134233642463
Alias Cab Svgn,912.1700000000002,38.11679840380632
Alias Chard,582.47,24.967809500918502
Alibi Whiskey,531.72,63.50710900473935
Alice White Chard Ausl,43800.570000000174,44.56053882403882
Alice White Lexia Muscato,512.8500000000001,40.801403919274655
Alice White Shiraz Ausl,17023.139999999818,39.16709843189839
Alisios Pinot Grigio,119.88,33.33333333333333
Alize Coco Liqueur,95.94,21.263289555972477
Alize Red Passion,139.93,31.437147145001077
Allegrini La Grola Veronese,629.79,21.19277854522936
Allegrini Palazzo Della Tor,67061.20999999999,24.92351390617642
Allegrini Solosole Vermentin,1849.0300000000004,40.34710091237028
Allegrini Sondraia,3134.369999999997,80.46880234305456
Allegrini Valpolicella Clsc,19738.40999999997,38.83195252302475
Allen's Amaretto Liqueur,101.83,45.67416282038692
Allen's Blue Curacao Liqueur,5.99,20.03338898163606
Allen's Ginger Brandy,464.7,11.1426726920594
Allen's Pomegranate Liqueur,107.81999999999998,13.522537562604315
Allens Coffee Brandy,540403.5599999654,32.04196007194878
Allens Triple Sec,12668.629999999876,27.254959691773585
Alma Negra Gran Almanegra,249.95,86.20524104820964
Almaden B/B Wh Znfdl Cal,96892.04000000405,37.36183075514099
Almaden Burgundy B/B,89359.33000000246,35.69232222309692
Almaden Cab Svgn Cal B/B,173797.08000000045,34.90063239267521
Almaden Chablis B/B,103053.0500000035,35.78581128846044
Almaden Chard Cal,4935.509999999983,41.111252940425416
Almaden Chard Cal B/B,299322.22999998083,37.87027445304943
Almaden Merlot Cal B/B,148332.39000000522,34.43508865461289
Almaden Moscato,1151.3600000000001,21.37559060589218
Almaden Moscato Rhine,260.71000000000004,19.911012235817584
Almaden Mt Rhine Calif B/B,106528.44000000402,37.810654131423526
Almaden Pnt Grigio B/B,5560.709999999986,32.02306899658484
Alpataco Malbec,575.64,32.45778611632271
Alpataco Pnt Nr,735.5400000000001,47.48348152377846
Alphonse Dolly Pouilly-Fume,1914.1600000000003,14.202574497429698
Alphonse Dolly Sancerre Cvee,41356.98000000018,37.519615793996735
Alta Classe Mntplcno Abruzzo,327.5900000000001,60.73140205744988
Alta Vista Malbec Mendoza,137.88,42.81984334203655
Altadonna Nero D'Avola,1594.8600000000008,86.8678128487767
Altadonna Vermentino,530.4100000000001,96.49327878433664
Alter Ego de Palmer Mrgx 11,2240.73,73.37296327536116
Alto Ego De Palmer Margaux,2665.689999999999,97.91873773769643
Alto Moncayo Garnacha,12237.44999999998,36.93931333733734
Alto Moncayo Veraton Garnach,12446.33999999995,35.69515214914556
Altocedro Finca Tanos Malbec,1783.9500000000007,23.95022282014632
Altocedro Malbec Reserva,239.92,31.043681227075687
Alverdi Pnt Grigio,14932.97999999979,44.310780567575215
Alverez de Toledo Godello,2115.99,40.15567181319381
Alverez de Toledo Mencia Rbl,5350.839999999962,36.64770391190873
Amadeo Chianti,191.76,31.53942428035044
Amador Double Barrel Bourbon,29952.510000000308,19.809859006808495
Amapola Creek 09 Cab Svgn,2507.5599999999986,82.33900684330582
Amaretto DiSaronno,1546173.6599998882,29.56630700656468
Amaretto DiSaronno Summer Pk,52419.85999999992,12.186144716906998
Amaretto di Amore,201082.33000001058,36.11271327715829
Amaretto di Amore VAP,9650.349999999962,5.744040371592156
Amaro Montenegro Liqueur,24380.2500000002,37.924754668225866
Amaro Sfumato Rabarbaro,43.98,21.282401091405184
Amarula Cream Liqueur,108737.41000000318,26.011186030642087
Ame Neyers Cab Svgn Napa,1999.75,31.130391298912375
American Harvest Organic,51896.090000000244,83.66549240532959
Americano Petite Syrah,1560.1200000000001,30.774555803399746
Amrut Fusion Single Malt,5384.189999999993,90.64297508074564
AnCnoc 12 Yr Old Scotch,58483.82999999959,26.588939199090778
Anakota 11 Helena Montana CS,1919.76,18.351773138308953
Anakota Cab Svgn Helena Dako,1359.83,37.809137906944244
Anarkos Puglia,299.76,66.21297037630104
Anastasi Estates Messinia Rd,323.73,85.28403299045502
Ancho Reyes Chile Liqueur,11224.729999999956,63.24953918713398
Anderra Cab Svgn,4374.209999999973,45.41551503014223
Anderra Carmenere,107.88,32.92547274749722
Anderra Svgn Bl,5655.799999999953,39.362247604228756
Andre Bourgogne Pnt Nr RSV,12986.039999999903,27.01277679723716
Andre Brut,140239.79000000327,34.78833646285517
Andre Cold Duck,15360.83999999984,35.4649875918235
Andre Extra Dry,244003.85000000446,42.76155888524048
Andre Moscato,558.04,23.44634793204789
Andre Pink,52191.44000000046,35.956087818233044
Andre Pink Moscato,240.57999999999998,20.09310832155623
Andre Spumante Calif,2295.1499999999983,34.04875498333439
Andrew Will Two Blondes WA,803.88,33.333333333333336
AnestasiA Vodka,7990.389999999973,68.4721271427301
Anew Rose,14112.269999999804,26.668211421690792
Anew Rsl,13142.639999999818,37.65255686833011
Angel's Envy Rye,34475.690000000155,50.40505353192374
Angela Yamhill-Carlton Pnt N,1072.71,19.389210504236935
Angeline Chard Cal,217.76000000000002,18.497428361498912
Angeline Chard RRV,22166.090000000062,65.44920642296422
Angeline Pnt Nr,223629.5800000004,42.546026335157094
Angeline Pnt Nr Rsv,190470.9000000024,39.773855218829794
Angeline Rsv Cab Svgn,20447.390000000087,51.45355959856028
Angeline Svgn Bl RRV,255.15,34.15637860082305
Angelini Pnt Grigio Veneto,58661.0299999999,31.33772114127517
Angelini Pnt Nr Veneto,31536.690000000806,38.29587061927094
Angelini Sangiovese Pesaresi,1888.8100000000006,38.052530429212055
Angels & Cowboys Rose,12087.359999999913,32.06084703359496
Angels Envy Hanover Chop,275.94,23.070232659273753
Angels Envy Whiskey,160767.84000000125,24.32908223435791
Angels Landing Cab Svgn,4817.589999999982,22.404355704823043
Angoves Nine Vines Moscato,395.67,2.289786943665176
Anna de Codorniu Brut Cava,20522.890000000014,28.75827917023405
Anna de Codorniu Brut Rose,191.88,34.64665415884928
Annabella Cab Svgn Napa,1039.3500000000001,24.600952518400938
Anne Amie Pnt Nr,23639.890000000127,27.466159952521263
Antech Limoux Brut,1618.6500000000008,0.9174311926606147
Anterra Chardonnay,4634.199999999973,91.84325234128863
Anthology Conn Crk Cab Napa,4164.939999999997,23.311020086723854
Antica Cab Svgn Napa Valley,2791.3999999999987,21.007379809414594
Antica Chard Napa Valley,1193.6200000000001,31.12380824718085
Antica Fratta Franciacorta B,6680.3799999999765,44.51872498271036
Antico Colle Chianti Colli,263.76,33.75796178343949
Antico Colle Rosso di Montep,11538.449999999877,34.922541589207505
Antigal Uno Cab Mendza,782.5200000000002,72.64478863160046
Antigal Uno Malbec Mendoza,41807.12000000036,27.80703382581779
Antinori Badia Chianti Clsc,455.88000000000005,28.737825743616746
Antinori Bolgheri Guado,5948.389999999995,56.80242889252383
Antinori Brnllo Mntlcno Pain,1413.74,50.89196033216857
Antinori Cervaro della Salla,271.92,37.65813474551339
Antinori Chianti Clsc Pepoli,10940.349999999951,43.46149803251244
Antinori Orvieto Clsc Campo,8881.819999999943,42.3595614412358
Antinori Tenuta Marchese,21272.480000000032,33.71492181447601
Antinori Tignanello,9115.969999999992,48.2827389734718
Antinori Toscana Rd,137534.81000000288,41.00437554681701
Antinori Villa Chianti Class,31553.890000000247,29.447811347508075
Antinori Villa Wh,29022.83000000036,36.739353123042065
Antiquary 12 Yr Old Scotch,134.94,24.23299244108493
Anton Bauer Gmork Rose,167.88,34.66761972837741
Apaltagua Envero Gran Rsv,750.5,8.892738174550301
Apaltagua Rose Carmenere,7671.019999999938,30.45592372331138
Aperol Liqueur,118710.7400000044,31.685414478927754
Apimed Old Slavic Mead Dark,953.1,34.93862134088763
Apimed Old Slavic Mead Light,635.4,39.093484419263454
Apimed Slovak Mead,464.58,38.163502518403725
Apimed Trnava Mead,335.7,40.12511170688114
Apothic Crush,108390.36000000245,21.474382039142686
Apothic Dark,243756.84000000064,35.56915572092355
Apothic Inferno,47582.36999999998,34.606346846531565
Apothic Winemakers Red Blend,812899.3799999028,36.57299135840508
Apothic Winemakers White,147400.08000000444,38.27696701385896
Apple Orchard Liqueur,2017.9800000000012,90.20902090209022
Appleton Est VX Jamaican Rum,48949.88999999981,32.30091017569157
